timestamp,BTC_BB_lower,BTC_BB_middle,BTC_BB_upper,BTC_VWMA,BTC_ask_volume,BTC_ask_vwap,BTC_bid_percentage,BTC_bid_volume,BTC_bid_vwap,BTC_close,BTC_high,BTC_low,BTC_open,BTC_stoch_D,BTC_stoch_K,BTC_volume,BTC_volume_MA,BTC_volume_spike,ETH_BB_lower,ETH_BB_middle,ETH_BB_upper,ETH_VWMA,ETH_ask_volume,ETH_ask_vwap,ETH_bid_percentage,ETH_bid_volume,ETH_bid_vwap,ETH_close,ETH_high,ETH_low,ETH_open,ETH_stoch_D,ETH_stoch_K,ETH_volume,ETH_volume_MA,ETH_volume_spike,XRP_BB_lower,XRP_BB_middle,XRP_BB_upper,XRP_VWMA,XRP_ask_volume,XRP_ask_vwap,XRP_bid_percentage,XRP_bid_volume,XRP_bid_vwap,XRP_close,XRP_high,XRP_low,XRP_open,XRP_stoch_D,XRP_stoch_K,XRP_volume,XRP_volume_MA,XRP_volume_spike,exchange
2024-10-28 11:00:00,,,,,,,,,,68652.9,68761.73,68473.24,68541.87,,,2.77388,,False,,,,,,,,,,2525.93,2532.5,2525.93,2532.36,,,1.5851,,False,,,,,,,,,,0.52,0.5208,0.5182,0.5183,,,2111.0,,False,Binance US
2024-10-28 12:00:00,,,,,,,,,,68945.95,69011.61,68600.0,68739.04,,,5.83931,,False,,,,,,,,,,2525.15,2534.7,2519.42,2528.0,,,5.3348,,False,,,,,,,,,,0.521,0.521,0.5192,0.5202,,,441.0,,False,Binance US
2024-10-28 13:00:00,,,,,,,,,,68802.8,69232.75,68716.14,68830.59,,,2.5093,,False,,,,,,,,,,2516.15,2531.66,2514.46,2528.61,,,18.9492,,False,,,,,,,,,,0.5184,0.5205,0.5183,0.5195,,,6852.0,,False,Binance US
2024-10-28 14:00:00,,,,,,,,,,68992.14,69088.9,68671.23,68802.81,,,0.69403,,False,,,,,,,,,,2529.01,2534.7,2510.01,2516.13,,,6.2102,,False,,,,,,,,,,0.5172,0.5183,0.5164,0.518,,,2985.0,,False,Binance US
2024-10-28 15:00:00,,,,,,,,,,68602.07,68881.27,68453.14,68881.27,,,2.81839,,False,,,,,,,,,,2502.62,2524.65,2502.54,2524.64,,,8.0159,,False,,,,,,,,,,0.5143,0.5169,0.5143,0.5169,,,985.0,,False,Binance US
2024-10-28 16:00:00,,,,,,,,,,68695.03,68925.4,68475.07,68475.07,,,1.11822,,False,,,,,,,,,,2508.85,2515.08,2496.72,2502.58,,,14.6471,,False,,,,,,,,,,0.515,0.5163,0.5134,0.514,,,102329.0,,False,Binance US
2024-10-28 17:00:00,,,,,,,,,,68939.6,69177.06,68506.29,68695.04,,,0.88494,,False,,,,,,,,,,2501.77,2515.19,2489.83,2506.61,,,10.4166,,False,,,,,,,,,,0.5134,0.5157,0.512,0.5149,,,1723.0,,False,Binance US
2024-10-28 18:00:00,,,,,,,,,,69197.3,69200.0,68689.4,69036.69,,,1.4631,,False,,,,,,,,,,2506.86,2511.83,2490.85,2502.17,,,14.9504,,False,,,,,,,,,,0.5146,0.5152,0.5128,0.5133,,,6412.0,,False,Binance US
2024-10-28 19:00:00,,,,,,,,,,69562.94,69666.96,69043.29,69043.29,,,10.59806,,False,,,,,,,,,,2505.29,2524.08,2496.74,2502.19,,,12.1359,,False,,,,,,,,,,0.5178,0.5188,0.5148,0.5148,,,8111.0,,False,Binance US
2024-10-28 20:00:00,,,,,,,,,,69607.8,69607.8,69333.52,69562.94,,,0.40363,,False,,,,,,,,,,2512.75,2516.51,2505.37,2511.83,,,13.139,,False,,,,,,,,,,0.518,0.519,0.5169,0.5174,,,481.0,,False,Binance US
